epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.62165,0.5983986160564423,0.7756,0.47401291456222533
2,0.67067,0.5238609693813324,0.8294,0.4042863657712936
3,0.68629,0.490637282371521,0.88215,0.35534307696819306
4,0.69944,0.46692833793640137,0.89345,0.2850745681166649
5,0.7063,0.4537597999095917,0.90945,0.2613871469140053
6,0.71069,0.4422625211763382,0.9086,0.2383585664510727
7,0.71229,0.4363366285324097,0.9208,0.22072323085069656
8,0.79295,0.3803027339744568,0.9243,0.1941924932360649
9,0.82947,0.34585551481485366,0.9229,0.19156608407199383
10,0.83173,0.33842480462789537,0.92775,0.1757337041825056
