epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.75053,0.5105175493144989,0.8409,0.36272118775844575
2,0.84944,0.36991745193481446,0.8553,0.3211372004032135
3,0.8801,0.3036124025607109,0.889,0.2679676495194435
4,0.89604,0.2688275699090958,0.90215,0.2331819981455803
5,0.90761,0.24513710050344467,0.9106,0.21895223041176795
6,0.9133,0.2286302960884571,0.91435,0.20633403097093106
7,0.91868,0.21417248536527156,0.9107,0.21384655804634095
8,0.92389,0.20450054763376713,0.90325,0.23554604152292014
9,0.92809,0.1927782794737816,0.91755,0.20639334895312786
10,0.92891,0.18557983360916377,0.9256,0.19226741352602839
